FALSE,入稿実行,,,,,,,,,,,,,
項番,入稿有無,公開日,問題,正解,URL,カテゴリ,タイトル,説明文,ヒント,解説文,締め,X投稿文,,
11,入稿済,2025/10/08,6＋4＝4,8−4＝4,matchstick-quiz/article/11,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋4＝4？,マッチ棒1本だけを移動して「6＋4＝4」を正しい等式に直してください。,記号の縦棒の行き先がカギ。,「＋」の縦棒を抜くと「−」。同じ1本を「6」のbに置くと「8」。よって 8−4＝4（成立）。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
12,入稿済,2025/10/08,9＋0＝8,8−0＝8,matchstick-quiz/article/12,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋0＝8？,1本移動で「9＋0＝8」を正しい等式にしてください。,9を8に、＋を−に。,縦棒を抜いて「−」。同じ1本を「9」のeへ置くと「8」。8−0＝8（成立）。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
14,入稿済,2025/10/09,5＋2＝4,6−2＝4,matchstick-quiz/article/14,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋2＝4？,1本だけを別の場所へ移動して「5＋2＝4」を正しい等式に。,取り出した1本は左の数字の左下へ。,縦棒を抜いて「−」。同じ1本を「5」のeへ置くと「6」。6−2＝4（成立）。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
15,入稿済,2025/10/09,0＋3＝5,8−3＝5,matchstick-quiz/article/15,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋3＝5？,マッチ棒1本だけを移動して「0＋3＝5」を正しい等式に直してください。,0は**g（中央）**が足りれば8になる。／演算子も同時に変わる。,「＋」の縦棒を抜くと演算子は「−」に。同じ1本を左端「0」の中央 g に置くと「8」へ。よって 8−3＝5 が成立します（1本移動／総本数不変）。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
16,入稿済,2025/10/09,5＋4＝5,9−4＝5,matchstick-quiz/article/16,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋4＝5？,マッチ棒1本だけを移動して「5＋4＝5」を正しい等式に直してください。,「＋」の縦棒の使い道に注目。,縦棒を抜くと演算子は「−」。同じ1本を左端「5」のbに置けば「9」になり、9−4＝5で成立。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
17,入稿済,2025/10/09,6＋2＝6,8−2＝6,matchstick-quiz/article/17,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋2＝6？,1本だけを移動して「6＋2＝6」を正しい等式に。,左端の数字と演算子が同時に変わる。,縦棒を抜いて「−」。その1本を「6」のbへ置けば「8」に。8−2＝6で正しい。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
18,入稿済,2025/10/09,0＋5＝3,8−5＝3,matchstick-quiz/article/18,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋5＝3？,「0＋5＝3」を1本移動だけで正しい等式に直してください。,「0」を「8」にできるか？,縦棒を抜くと「−」。同じ1本を左端「0」のgに置くと「8」。8−5＝3で成立。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
19,入稿済,2025/10/10,3＋2＝7,9−2＝7,matchstick-quiz/article/19,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：3＋2＝7？,1本移動で「3＋2＝7」を正しい等式に。,左端の「3」を強化すると…？,縦棒を「3」のfへ置けば「9」に。同時に演算子は「−」となり、9−2＝7が完成。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
20,入稿済,2025/10/10,,8−1＝7,matchstick-quiz/article/20,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋1＝7？,マッチ棒1本だけで「9＋1＝7」を正しい等式に直してください。,「9」を「8」にできる位置。,縦棒を抜いて「−」。同じ1本を左端「9」のeへ置くと「8」。8−1＝7で正しい。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
21,入稿済,2025/10/10,9−4＝9,5＋4＝9,matchstick-quiz/article/21,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9−4＝9？,1本だけ移動して「9−4＝9」を正しい等式に直してください。,演算子を「＋」に変えられる？,左端「9」のbを抜いて演算子の縦位置へ。左端は「5」に、演算子は「＋」へ。5＋4＝9で成立。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
22,入稿済,2025/10/10,,5＋1＝6,matchstick-quiz/article/22,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6−1＝6？,「6−1＝6」を1本だけで正しい等式に。,左端の数字から1本拝借。,「6」のeを抜いて縦位置へ移せば演算子は「＋」、左端は「5」。5＋1＝6で正しい。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
23,入稿済,2025/10/10,8−8＝8,0＋8＝8,matchstick-quiz/article/23,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：8−8＝8？,1本移動だけで「8−8＝8」を正しい等式に。,左端を「0」にしつつ演算子を変える。,左端「8」からgを抜いて縦位置へ。左端は「0」、演算子は「＋」。0＋8＝8成立。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
24,入稿済,2025/10/10,7−5＝6,1＋5＝6,matchstick-quiz/article/24,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：7−5＝6？,1本移動で「7−5＝6」を正しい等式に。,「7」を「1」にできる棒は？,「7」のaを抜いて縦位置へ。左端は「1」に、演算子は「＋」。1＋5＝6で正解。,このシリーズは毎日更新。明日も新作を公開します。ブックマークしてまた挑戦してください！,,,
26,入稿済,2025/10/12,6＋3＝5,8−3＝5,matchstick-quiz/article/26,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋3＝5？,「6＋3＝5」を正しくしてください。使えるのは1本だけ。じっくり見ると、真ん中の形に“ひらめき”のタネがあります。,真ん中の十字に注目。たて棒をどこかに移せそう？,真ん中の「＋」から“たて棒”を1本抜いて、左の「6」の右上に足すと「8」になります。すると式は「8−3＝5」。ぴったり正解！,いつもと違うやり方で考えると、脳の前頭葉が活発になります。クイズ前に深呼吸すると、さらにひらめきやすくなりますよ！,,,
27,入稿済,2025/10/12,5＋3＝6,9−3＝6,matchstick-quiz/article/27,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋3＝6？,「5＋3＝6」。ほんの少しの工夫で正しい式に変えられます。1本だけ動かしましょう。,真ん中の十字と、左の「5」を同時に見比べてみてください。,真ん中の「＋」から“たて棒”を外して、左の「5」の右上に足すと「9」になります。「9−3＝6」で正解！　目線を上下に動かすのがコツ。,視線を上下左右に動かす“サッケード（眼球運動）”は、注意力アップに役立つと言われます。,,,
28,入稿済,2025/10/13,3＋8＝1,9−8＝1,matchstick-quiz/article/28,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：3＋8＝1？,「3＋8＝1」。一見むずかしそうでも、1本の移動で“スッ”とそろいます。,左の「3」をよく見て。上のほうに1本足せたら…？,真ん中の「＋」から“たて棒”を抜き、左の「3」の左上に足すと「9」になります。すると「9−8＝1」で完成！　形のイメージがカギ。,図形を頭の中で組み替える作業は、ワーキングメモリ（作業記憶）のトレーニングになります。,,,
29,入稿済,2025/10/13,8−3＝12,9＋3＝12,matchstick-quiz/article/29,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：8−3＝12？,「8−3＝12」。数字は合いませんね。でも1本だけ動かせばピタリと合います。,左の「8」の左下と、真ん中の「−」を見比べてください。,左の「8」から左下の1本を外して、真ん中の「−」に立てて足すと「＋」になります。同時に「8」は「9」に変化。これで「9＋3＝12」！,間違いに気づく力（エラーモニタリング）は、反復練習で強くなります。ミスは“伸びしろ”！,,,
30,入稿済,2025/10/14,6−4＝9,5＋4＝9,matchstick-quiz/article/30,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6−4＝9？,「6−4＝9」。このままでは合いません。1本だけ、場所を工夫してみましょう。,左の「6」の左下と、真ん中の「−」に注目。,左の「6」の左下の1本を外して、真ん中の「−」に立てて足すと「＋」になります。左の数字は「5」に変わり、「5＋4＝9」で正解！,マッチ棒クイズのような“制約つきの発想”は、創造性のトレーニングにも効果的です。,,,
31,入稿済,2025/10/14,3＋4＝5,9−4＝5,matchstick-quiz/article/31,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：3＋4＝5？,「3＋4＝5」を1本だけ動かして正しい式にしましょう。よく見ると、真ん中の形と左の数字の関係がカギです。,真ん中の十字の“たて棒”をどこかに移せるかも。左の数字を強くするイメージで。,「＋」から“たて棒”を抜いて左の「3」の左上に立てると「9」になります。同時に真ん中は「−」に変わり、式は「9−4＝5」で正解！,豆知識：1つのものを別の場所で使い回す“置き換え発想”は創造力の基本トレーニングです。,,,
33,入稿済,2025/10/15,9＋1＝7,8−1＝7,matchstick-quiz/article/32,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋1＝7？,「9＋1＝7」を1本で正しくしましょう。左の数字と真ん中の形に注目。,左の「9」にマッチ棒を1本動かして違う数字にしてみよう。,「＋」から“たて棒”を外して、左の「9」の左下に立てると「8」になります。真ん中は「−」になり「8−1＝7」で正解！,豆知識：頭の中で“形の足し算・引き算”をするのは、空間認識の良い練習になります。,,,
34,入稿済,2025/10/16,9＋8＝0,8−8＝0,matchstick-quiz/article/33,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋8＝0？,「9＋8＝0」。これはおかしいですね。1本だけ移動して正しい式にしましょう。,真ん中の十字から1本をどこへ？左の数字を少しだけ変えてみよう。,「＋」の“たて棒”を外し、左の「9」に足して丸に近づけると「8」になります。真ん中は「−」に変わり、「8−8＝0」で正解！,豆知識：わざと“間違い”を見る練習は、エラーに気づく力（エラーモニタリング）を鍛えます。,,,
35,入稿済,2025/10/16,1＋2＝5,7−2＝5,matchstick-quiz/article/34,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：1＋2＝5？,「1＋2＝5」。さあ、1本だけ動かして合う式に！左の細い数字にちょい足しがコツ。,左の「1」は、上をのばすと強くなります。,「＋」の“たて棒”を外して、左の「1」の上に横向きに置くと「7」になります。真ん中は「−」になり、「7−2＝5」で完成！,豆知識：小さな変化で大きな結果が出ると、脳は達成感ホルモン（ドーパミン）を分泌します。,,,
36,入稿済,2025/10/17,9−6＝9,3＋6＝9,matchstick-quiz/article/35,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9−6＝9？,「9−6＝9」を見直して、1本だけ動かして正しい式にしましょう。,左の「9」と真ん中の“横棒1本”に注目。,左の「9」の左上の1本を外して、真ん中の「−」に縦に立てると「＋」になります。左の数字は「3」に変わり、式は「3＋6＝9」で正解！,豆知識：“減らして別の場所へ足す”のは、頭の中の資源配分の良い訓練です。,,,
37,入稿済,2025/10/17,8−0＝9,9＋0＝9,matchstick-quiz/article/36,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：8−0＝9？,「8−0＝9」。あと少しで合いそう。1本の移動でピタリとそろえます。,左の「8」は、1本減らすと「9」に近づきます。,左の「8」の左下の1本を外して、真ん中の「−」に縦に置くと「＋」になります。左の数字は「9」に変化。「9＋0＝9」で正解！,豆知識：ものごとを“足す前に減らす”発想は、整理整頓や問題解決でも役立ちます。,,,
38,入稿済,2025/10/18,6−1＝6,5＋1＝6,matchstick-quiz/article/37,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6−1＝6？,「6−1＝6」。1本だけ動かして正しい式を作りましょう。,左の「6」と真ん中の“横棒1本”を見比べて。,左の「6」の左下の1本を外して、真ん中の「−」に縦に足すと「＋」になります。左の数字は「5」に変わり、「5＋1＝6」で完成！,豆知識：順番に“見る→考える→試す”を繰り返すと、問題解決力がどんどん伸びます。,,,
40,入稿済,2025/10/19,6＋6＝2,8−6＝2,matchstick-quiz/article/38,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋6＝2？,「6＋6＝2」。これを1本だけで正しい式にしてください。,左の「6」の右上をイメージ。真ん中の十字の“たて棒”にも注目。,「＋」の“たて棒”を外して、左の「6」の右上に立てると「8」になります。真ん中は「−」に変わり、「8−6＝2」で完成！,豆知識：制限があるほど創造性が高まる――“制約のデザイン”は学びの強い味方です。,,,
41,入稿済,2025/10/19,0＋3＝12,9＋3＝12,matchstick-quiz/article/39,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋3＝12？,「0＋3＝12」を1本だけ動かして正しい式にしてください。記号はいじりません。左の数字の中でマッチ棒を動かす発想です。,左の「0」の中をよく見て。どこか1本を「まんなかの線」にできないかな？,左の「0」から左下のマッチ棒を抜いて、輪のまんなかに横向きで置くと「0」が「9」になります。式は9＋3＝12で正解。,観察のコツは「同じ数字でも中身を入れ替えられないか？」と考えること。,,,
44,入稿済,2025/10/20,7＋5＝10,7＋3＝10,matchstick-quiz/article/42,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：7＋5＝10？,「7＋5＝10。1本だけ動かして正しい式を作りましょう。,右の「5」の上の角に注目。左右どちらかへ移せるかな？,右の「5」から上の左側のマッチ棒を外し、右上に移すと「5」が「3」に変わります。7＋3＝10で正解。,同じ本数でも置き場所が変わると別の数字に見えるのがポイント。,,,
45,入稿済,2025/10/21,,6＋4＝10,matchstick-quiz/article/43,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋4＝10？,「9＋4＝10。1本だけ動かして正しい式を作りましょう。,左の「9」の右上と左下をチェック。,左の「9」から右上のマッチ棒を外し、左下に移すと「6」になります。式は6＋4＝10で完成。,「9↔6」は1本の入れ替えで起きる定番変形。覚えておくと便利。,,,
47,入稿済,2025/10/22,2＋7＝10,3＋7＝10,matchstick-quiz/article/45,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：2＋7＝10？,「2＋7＝10。1本だけ動かして正しい式を作りましょう。,左の「2」の左下と右下を観察。,左の「2」から右下のマッチ棒を外し、左下に移すと「2」が「3」に。3＋7＝10で正解。,“足りない角”を埋める発想。左下を作ると2→5になります。,,,
48,入稿済,2025/10/22,2＋9＝12,3＋9＝12,matchstick-quiz/article/46,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：2＋9＝12？,「2＋9＝12。1本だけ動かして正しい式を作りましょう。,左の「2」の左下と右下に注目。,左の「2」で左下のマッチ棒を右下へ移すと「2」が「3」に変わります。3＋9＝12で完成。,2↔3は“左下と右下の入れ替え”で行き来できると覚えよう。,,,
49,入稿済,2025/11/10,6＋7＝15,6＋7＝13,matchstick-quiz/article/47,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋7＝15？,「6＋7＝15。1本だけ動かして正しい式を作りましょう。,「＝」の右側、最後の数字「5」をよく見て。上の左側を別の場所にできる？,答えの「5」から上の左側のマッチ棒を外して右上へ移すと「5」が「3」に。6＋7＝13で正解。,右端だけを直す上級編。答え側に目線を置くと新鮮です。,,,
50,入稿済,2025/11/10,4＋8＝13,4＋8＝12,matchstick-quiz/article/48,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：4＋8＝13？,「4＋8＝15。1本だけ動かして正しい式を作りましょう。,最後の「3」の右下と左下を見くらべよう。,最後の「3」から左下のマッチ棒を外し、右下に移すと「3」が「2」に。4＋8＝12で正解。,“結果だけ直す”タイプは難しめ。落ち着いて最後の数字を観察しよう。,,,
56,入稿済,2025/11/11,3＋6＝12,3＋9＝12,matchstick-quiz/article/50,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：3＋6＝12？,「3＋6＝12」を1本だけ動かして正しい式にします。右の数字を少し強くします。,右の「6」の左下と右上をチェック。,右の「6」の左下のマッチ棒を右上へ移すと「6→9」。3＋9＝12で完成。,右の数字だけを強くするイメージで考えると見つかりやすい。,,,
57,入稿済,2025/11/12,4＋5＝7,4＋3＝7,matchstick-quiz/article/51,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：4＋5＝7？,「4＋5＝7」。右の数字の中でマッチ棒を1本移動して直します。,右の「5」の上の左側を別の位置にできない？,右の「5」から上の左側のマッチ棒を右上に移すと「5→3」。4＋3＝7で正解。,上の角をちょこっと動かすだけで別の数字に早変わり。,,,
59,入稿済,2025/11/13,0＋8＝17,9＋8＝17,matchstick-quiz/article/53,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋8＝17？,「0＋8＝17」。左の数字の中だけで形を変えて正しい式にします。,左の「0」の中に「まんなかの線」を作れないかな？,左の「0」の左下のマッチ棒を抜いて、まんなかに横向きで置くと「0→9」。9＋8＝17で完成。,一度身につくと「0↔9」の変形はすぐに見抜けます。,,,
60,入稿済,2025/11/13,6＋0＝15,6＋9＝15,matchstick-quiz/article/54,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：6＋0＝15？,「6＋0＝15」。右の数字の中で1本動かして直しましょう。,右の「0」に「まんなかの線」を作れる？,右の「0」の左下のマッチ棒を抜いて、まんなかに横向きで置くと「0→9」。6＋9＝15で正解。,答え側ではなく右の数字を変える発想でいこう。,,,
62,入稿済,2025/11/14,5＋9＝11,5＋6＝11,matchstick-quiz/article/55,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：5＋9＝11？,「5＋9＝11」。右の数字の形を少し変えるだけで成立します。,右の「9」の右上と左下を見くらべよう。,右の「9」から右上のマッチ棒を外して左下へ移すと「9→6」。5＋6＝11で完成。,右側だけ直すので、視線を右端に固定してみよう。,,,
63,入稿済,2025/11/14,9＋4＝10,6＋4＝10,matchstick-quiz/article/56,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋4＝10？,「9＋4＝10」。左の数字の中を1本動かして正解にします。,左の「9」の右上と左下をチェック。,左の「9」の右上のマッチ棒を外して左下に移すと「9→6」。6＋4＝10で正解。,似た形の入れ替えは“定番ワザ”。覚えておくと解くスピードが上がります。,,,
64,入稿済,2025/11/15,0＋7＝16,9＋7＝16,matchstick-quiz/article/57,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：0＋7＝16？,マッチ棒1本だけを別の場所へ移動して、式「0＋7＝16」を正しい等式に直してください。,まずは左の「0」の形をじっくり観察しましょう。「0」は丸い輪っかの中に線がない形です。ここにマッチ棒を1本だけ移動して、「0」の中身を少しだけ変えられないか考えてみてください。真ん中あたりに横の線が入ると、見え方がガラッと変わります。,左端の「0」から左下のマッチ棒を外し、その1本を「0」のまんなかに横向きで置くと、数字は「0→9」に変化します。真ん中の記号や右側はそのままなので、式は「9＋7＝16」となり正しい等式が完成します。1本だけで左の数字を強くし、答えに合わせる王道パターンです。,解けたら、次は「0→9」を頭の中で素早くイメージする練習をしてみましょう。形の真ん中に線を足すと一気に強い数字に変わるコツが身につきます。,,,
65,入稿済,2025/11/15,9＋7＝13,6＋7＝13,matchstick-quiz/article/58,マッチ棒クイズ,【マッチ棒クイズ】1本だけ動かして正しい式に：9＋7＝13？,マッチ棒1本だけを別の場所へ移動して、式「9＋7＝13」を正しい等式に直してください。,左の「9」は上が強く、左下が弱い形です。もし「9」の右上のマッチ棒を別の位置に移したらどうなるでしょう。左下を補強できれば、見た目は「6」に近づきます。たった1本でも、上と下のバランスが変わると別の数字に見えるのがポイントです。,左端の「9」から右上のマッチ棒を外し、左下へ移すと「9→6」となります。式は「6＋7＝13」となり、等式がぴったり成り立ちます。最小の一手で左側だけを調整し、答えに合わせるスマートな直し方です。,同じ発想で「9↔6」の行き来を練習すると、似た問題での対応力がぐんと上がります。上と下の入れ替えは覚えておくと便利です。,,,
